dateFrom,name ,organizationPrimarySector ,impact.category,impact.description,Attribution.type,source.name,source.URL,eventConfidence,otherInformation
"March 3, 2024",DRS RADA Technologies and Radars,Information and Communications,DDoS ,"Defense tech outage, reputational harm, national security concern",Claimed ,Handala ,(https://handala.to/about-israel-radars/),,"Handala Hacks DRS RADA Technologies and Radars!

https://zone-xsec.com/mirror/id/648105
https://zone-xsec.com/mirror/id/648104

Handala was on your radars! We could target all flying planes, but we are not like you! We are not like the occupying Zionists to kill children! This was just a warning! Take Handala seriously! This is the beginning…

We can dump +2TB data! what about your network??

We destroyed all the network infrastructure and infrastructure of your factories!"
"February 19, 2024",Israel National Cyber Directorate,"Medical, Health and Nutrition",Wipe ,"Cybersecurity authority data loss, reputational harm, public trust erosion",Claimed ,Handala ,(https://handala.to/about-israel-rosh-haayin/),,"Hello Rosh Ha’ayin Municipal! Hello INCD!

Handala was Here! What about your docs?

We stood by Rafah! This was just a warning…

We can dump thousands of Rosh Ha’ayin Municipal docs!

We can also sent +100K text warning message with Municipal SMS Center!

We Hack Rosh Ha’ayin Municipal Society Community Center ( makombalev.org.il )

We can also sent +100K text warning message with Municipal SMS Center! This is just a warning because of Rafah!

https://zone-xsec.com/mirror/id/645678"
"February 17, 2024",Home Medics,Trade,Hack & Leak ,"Customer data exposure, reputational harm, compliance violations",Claimed ,Handala ,(https://handala.to/about-israel-health/),,"Hello Home Medics! Hello Rachel Jacob! Hello Health Research Organization! Hello INCD!

Handala was Here! What about your Medical, FDA and Patient documents?

We stood by Rafah! This was just a warning…

We can dump thousands of Medical, FDA and Patient documents! wait for big Data leak!

We Hack Home Medics ( homemedics.co.il )"
"February 13, 2024",The South Port,"Medical, Health and Nutrition",DDoS ,"Port operations disruption, reputational harm, logistics impact",Claimed ,Handala ,(https://handala.to/about-israel-hct/),,"Hello Ashdod port! Hello HADAROM Container Terminal! Hello INCD!

Handala was Here! What about your servers,Telephones,Emails,Docs?

We stood by Rafah! This was just a warning…

We Hack HCT ( hadct.co.il )

https://zone-xsec.com/mirror/id/645066

Wait for us!"
"February 27, 2024",Perflow Medical ,"Finance, Management and Administration",DDoS ,"Medical device network disruption, reputational harm, investor trust loss",Claimed ,Handala ,https://handala.to/about-israel-companies/,,"Hello
Wait for us! Hot March is coming!
Handala Hacks:"
"February 27, 2024",Maof Tech,Public Sector Management,DDoS ,"Government services disruption, reputational harm, civic trust erosion",Claimed ,Handala ,https://handala.to/about-israel-companies/,,
"February 27, 2024",Avitagar Firm ,"Finance, Management and Administration",DDoS ,"Legal services outage, reputational harm, access to justice issues",Claimed ,Handala ,https://handala.to/about-israel-companies/,,
"February 27, 2024",Redlich Institute ,Public Sector Management,DDoS ,"Government institute disruption, reputational harm, academic access lost",Claimed ,Handala ,https://handala.to/about-israel-companies/,,
"February 27, 2024",Four Katzavim Butchery ,Public Sector Management,DDoS ,"Public sector outage, reputational harm, meat supply chain impact",Claimed ,Handala ,https://handala.to/about-israel-companies/,,
"February 27, 2024",Shop Direct ,Industry,DDoS ,"E-commerce outage, reputational harm, business operations delay",Claimed ,Handala ,https://handala.to/about-israel-companies/,,
"February 27, 2024",Waze ,Industry,DDoS ,"Navigation service disruption, reputational harm, commuter frustration",Claimed ,Handala ,https://handala.to/about-israel-companies/,,
"February 27, 2024",BM Grop ,Public Sector Management,DDoS ,"Government platform outage, reputational harm, service delivery disruption",Claimed ,Handala ,https://handala.to/about-israel-companies/,,
"February 27, 2024",Top Audio ,Public Sector Management,DDoS ,"Retail audio site disruption, reputational harm, consumer experience loss",Claimed ,Handala ,https://handala.to/about-israel-companies/,,
"February 27, 2024",Mitugon ,Public Sector Management,DDoS ,"Municipal platform service outage, reputational harm, trust degradation",Claimed ,Handala ,https://handala.to/about-israel-companies/,,
"February 27, 2024",Dov Grau ,Industry,DDoS ,"Industrial site outage, reputational harm, supply chain disruption",Claimed ,Handala ,https://handala.to/about-israel-companies/,,
"February 27, 2024",Genicolog ,"Medical, Health and Nutrition",DDoS ,"Healthcare disruption, reputational harm, patient service impact",Claimed ,Handala ,https://handala.to/about-israel-companies/,,
"July 17, 2024",,"Medical, Health and Nutrition",Hack & Leak ,"Patient data exposure, reputational harm, legal liability",Claimed ,,https://t.me/Handala_hack/349,,"Do you know real Eyal Baror?

Does Edwards Lifesciences know who he made a deal with? Have we gone to hack Innovalve without purpose?

From 1993 to 2003, Eyal Baror was directly responsible for the secure communication research and development unit of Unit 8200. Yes, you guessed right, he is one of the key officials of the 8200 unit!

We only give Eyal Baror today to announce his resignation! Otherwise, we will publish all his personal information, which is more than 200 GB! In this case, everyone will be more familiar with this security face! Eyal Baror, announce your resignation before it's too late! We also take care of all your private pictures, confidential messages, security emails, and unethical issues! We are looking your LinkedIn account!

DealLine: 17 July, 16:30 GMT


#Innovalve
#Eyal_Baror
#Sheba_Medical_Center
#Mohammed_Deif
#Supply_chain_attack
#Handala
#Rafah

?? Handala.to
?? TOX: 
02C75E60211314F4A69C323A3CE334D75C72CD8C742F3ED168447405C541DF057294365D6C1E
?? @Handala_Backup
?? @Handala_Hack
?? @Handala_Leak

https://t.me/Handala_hack/354
Eyal Baror

DealLine: 17 July, 16:30 GMT


#Innovalve
#Eyal_Baror
#Sheba_Medical_Center
#Mohammed_Deif
#Supply_chain_attack
#Handala
#Rafah

?? Handala.to
?? TOX: 
02C75E60211314F4A69C323A3CE334D75C72CD8C742F3ED168447405C541DF057294365D6C1E
?? @Handala_Backup
?? @Handala_Hack
?? @Handala_Leak


https://t.me/Handala_hack/355
The opportunity ended and you were not a good boy, Eyal !

You are now getting to know Eyal's real security face! You are now a burnt nut! This is the fate of all those who cooperate with unit 8200!

Does Edwards Lifesciences know who he made a deal with? Innovalve was a shell startup...

Given Name: Eyal
Surname: Bar-Or
Date of Birth: 24/09/1974
Passport No: 30020833
Address: Kedem 33, Shoham
Phone: 054-4932572 | 03-9773568
Email: baroreyal@gmail.com
Previous position: secure communication research and development unit commander

Download 200 GB prv data of this officer:
https://t.me/Handala_Leak/309


This Data includes so prv data from Eyal Baror, Innovalve, PerfAction Ltd,Neuronix Ltd,...


#Innovalve
#Eyal_Baror
#Sheba_Medical_Center
#Mohammed_Deif
#Supply_chain_attack
#Handala
#Rafah

?? Handala.to
?? TOX: 
02C75E60211314F4A69C323A3CE334D75C72CD8C742F3ED168447405C541DF057294365D6C1E
?? @Handala_Backup
?? @Handala_Hack
?? @Handala_Leak"
"July 18,2024",Eyal Baror & Edwards Lifesciences,"Medical, Health and Nutrition",Hack & Leak ,"Patient data exposure, reputational harm, legal liability",Claimed ,,https://t.me/Handala_hack/356,,"Eyal Baror & Edwards Lifesciences,you did not start a good game. If you do not take responsibility for this data breach and Eyal does not announce his resignation, we will publish all the confidential documents of the design and construction of this technology in public to witness the destruction of your startup!


#Innovalve
#Eyal_Baror
#Sheba_Medical_Center
#Mohammed_Deif
#Supply_chain_attack
#Handala
#Rafah

?? Handala.to
?? TOX: 
02C75E60211314F4A69C323A3CE334D75C72CD8C742F3ED168447405C541DF057294365D6C1E
?? @Handala_Backup
?? @Handala_Hack
?? @Handala_Leak"
