dateFrom,name ,organizationPrimarySector ,eventSecondarySector,impact.category,impact.description,Attribution.type,source.name,source.URL,eventConfidenceJustificaiton ,otherInformation,,,,,,,,,
"Tuesday, November 21, 2023",Ikea,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/79) Recorded Future (https://therecord.media/cyber-toufan-data-breaches-israel-iran-palestinians),https://t.me/CyberToufanBackup/79,,"They took their time to publish a statement on the breach (leak dropped on Nov 21st).

But really Ikea Israel? You want to claim you are using the most strict measures and advanced technologies to secure your customers' data, while your 400k users had their passwords stored in your database as MD5 hashes?

Completely unsalted too.. (just like your food!)

?? ???? ?? ???? ??? ????? ????? ?? ????? (?????? ?? ?????? ?-21 ???????).

??? ???? ????? ?????? ??? ???? ????? ???? ????? ??????? ???????? ????? ???????????? ??????? ??? ????? ?? ????? ??????? ???, ???? ??-400,000 ???????? ??? ????? ???????? ???? ???? ??????? ??? ?-hash MD5?

?? ????? ?? ????.. (????? ??? ????? ???!)",,,,,,,,,
"Wednesday, December 6, 2023","Toys ""R"" Us Israel ",Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/97,,"#IsraelLeaks - Day Ten - Leak One - Toys ""R"" Us Israel - #OpCyberToufan #OpIsrael

Bismillah..

Over 6,600 of our children have now been murdered by Netanyahu and the Israeli occupation forces. All this while the Israeli constituency, those that brought Netanyahu into power in the first place, cheer on the murder of our children.

Do you think that you are achieving safety and security, for you and your children, through your indiscriminate bombings in Gaza? Have you forgotten that the curse of the eighth decade is knocking at your doors, and that the resistance is only growing stronger - no matter what you do?

Today's leak is more data for those on the ground preparing for the next Intifada. The personal details of over 160,000 Israelis from the well known company Toys ""R"" Us Israel, including: Names, Home Addresses, Phone Numbers, Emails, Hashes, etc. How Israelis have this much confidence in handing over all their personal details to these E-Commerce sites, we still don't understand.. But hey, we're not complaining.. :)

Links: 
https://usersdrive.com/gyc8r0aru6ma
https://gofile.io/d/3EUdHb
https://turbobit.net/1tau5iyjzer1.html
https://download.gg/file-16069772_9b6f53cdc41cfc3f

Password: @CyberToufan
SHA-1: a1b7ce20a62c7726e489ca32e05c64fbfc3b6010

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"Wednesday, December 6, 2023",amel Grinding Wheels (CGW),Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/102,,"#IsraelLeaks - Day Ten - Leak Two - Camel Grinding Wheels (CGW) - #OpCyberToufan #OpIsrael

Bismillah..

Our final leak for the day is a mini leak for Camel Griding Wheels (CGW), containing the database of their no-longer-functioning website www.cgwcamel.com.

CGW is Israel's ""only abrasives manufacturer"", and has been in operation for over 60 years, generating an annual revenue of ~$60 million selling grinding wheels.

We're publishing a smaller database tonight, just so the little guys don't feel left out.. And so you can all get a rest before tomorrow's leaks :)

Links:
https://usersdrive.com/7bdp5icr2det
https://gofile.io/d/LDs0WK
https://download.gg/file-16071904_56b33ba0f8e4a648
https://turbobit.net/16zn843rmqxh.html

Password: @CyberToufan
SHA-1: c31eb8ec4be6a5a8fc9ff00bf9eb58a7fe7b0049

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"Thursday, December 7, 2023",RESERVED,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/105),https://t.me/CyberToufanBackup/105,,"Bismillah..

We start today by publishing the complete database of Israel's branch of RESERVED, the globally famous fashion chain. The database belongs to their e-commerce website (https://reserved-il.com), and contains the personal information of all of their online customers, including their Names, Phone Numbers, Home Addresses, Email Addresses, Passwords (Hashes), and more.

As with the previous databases we've leaked, the RESERVED Israel database also contains home addresses and personal details of employees in high positions in the Israeli government, including in the Prime Minister's Office, the Knesset, Israel Police, among others..

It must be unfortunate for Reserved's customers that we at Cyber Toufan be the first to inform them.

So long as the war and indiscriminate bombings continue, we at Cyber Toufan will continue to strike day and night, in public and in secret. After all, #IsraelLeaks still has 70% to go..

Links:
https://usersdrive.com/cjrz9sa1blc2
https://gofile.io/d/YEXTCt
https://turbobit.net/oz32qzefjaln.html
https://download.gg/file-16074287_226e400045d62de3

Password: @CyberToufan
SHA-1: e1fb9088a50d65eca5407d41abed0a8d63f62ea1

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"Thursday, December 7, 2023",SEACRET Australia,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/107),https://t.me/CyberToufanBackup/107,,"#IsraelLeaks - Day Eleven - Leak Two - SEACRET Australia - #OpCyberToufan #OpIsrael

Bismillah..

Our final leak for the night relates to the Israeli-American cosmetics company Seacret, for which we will be leaking the database of it's no longer functioning Australian e-commerce site (https://seacretspa.com.au), including the details of all of it's Australian customers (emails, passwords, phone numbers, home addresses, etc.).

We have announced, time and time again, that any company that involves itself in the financing of the ongoing genocide, is a valid and legitimate target of the Cyber Toufan. Netanyahu and the Israeli military have, to this day, murdered over 7,000 of our children, and have spared no category of targets in their bombings - hospitals, schools, humanitarian shelters, etc. 

All this and the Western World and its leadership not only remain silent on the war crimes, but also directly support the ongoing massacres through their political, financial, and even on-the-ground military support - as we are seeing with the involvement of American and British forces.

Do not think that all those complicit will not pay the price of their complicity.

????? ??????????? ??????? ????????? ?????? ???????? ?????????????? ? ???????? ????????????? ????????? ???????? ????? ????????????? (??)

""Do not think Allah is heedless of the evil deeds in which the evil-doers are engaged. He is merely granting them respite until a Day when their eyes shall continue to stare in horror."" (Quran 14:42)

Links:
https://usersdrive.com/1q7z79hnh0h6
https://megaup.net/3mNXU
https://gofile.io/d/9HHHPl
https://download.gg/file-16075376_db7b730795580c9d

Password: @CyberToufan
SHA-1: 8e0c2f9f200b04d3ac11d94e2c804ded8801ffd8

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"Friday, December 8, 2023",Carter's-Oshkosh Israel ,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/113) ,https://t.me/CyberToufanBackup/113,,"Bismillah..

Our first leak for the day is the complete database of Carter's-Oshkosh Israel (www.cartersoshkosh.co.il). The data contains the full personal details of over 100,000 Israelis, including their Names, Phone Numbers, Home Addresses, Emails, Passswords (Hashes), and details of every order and sale!

The data contains the personal details (home addresses, phone numbers, etc.) of thousands(!) of Israeli soldiers and high-positioned employees of the Israeli government (ex. More than 15 Members of Staff from Netanyahu's personal office (PMO)!).

They continue to bomb and murder our innocent children, and feel no shyness while they dress up their own innocent children. Oh enemies of Allah, wait in your homes for a time ever-nearing! Those supporting the indiscriminate bombing will certainly pay the price of their complicity, one by one!

To our brothers working on the cyber front: Carter's has today informed all of their customers of the breach. We recommend making use of the credentials ASAP, while they are still valid.

To our brothers working on the military front: It is easier to change a password than it is to change the address of one's home. Continue on your path. We will continue leaking the most personal of details on every citizen of Israel, and continue supporting those that want to avenge the deaths of our children.

Links:
https://usersdrive.com/c30h15461ntd
https://gofile.io/d/BlsvAB
https://download.gg/file-16077975_575617289ebc51d2
https://clicknupload.click/5slvpgq7wwg8
https://megaup.net/2GSB9

Password: @CyberToufan
SHA-1: 66f9fac1ce5cffd9358b82517eacdd2a512dfa75

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"Friday, December 8, 2023",Hagarin,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/117) ,https://t.me/CyberToufanBackup/117,,"


#IsraelLeaks - Day Twelve - Leak Two - Hagarin (??????) - #OpCyberToufan #OpIsrael

Bismillah..

Our second leak for the day is the database of the e-commerce website of the Israeli agricultural supplies company, Hagarin, which has 37 branches across the occupied territories. Hagarin claims to have been founded in 1896, after the founders were accepted as refugees into the Palestinian Muslim lands, fleeing persecution from the Europeans.

Now their children actively participate in the persecution of the children of those who welcomed them. But they must know by now that their occupation of our lands, the occupation of Muslim lands, is not one that they will succeed at without facing continuous resistance. Our forefathers resisted, we resist, and our children will resist. And our Muslim Ummah of two billion stands behind us. We will continue to resist until the day that our Masjid Al Aqsa is free, our land is free, and our olive trees bloom again.

Links:
https://usersdrive.com/rw5wosggujgz
https://gofile.io/d/OXJ9TP
https://turbobit.net/8e6rp4wp3199.html
https://download.gg/file-16078913_0447a94c42b212a4

Password: @CyberToufan
SHA-1: 8a94d71816fc501012071410fdabbe671b26227e

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 9,2023",H&O Fashion,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/119) Cyber Express (https://thecyberexpress.com/cyber-toufan-cyberattack/),https://t.me/CyberToufanBackup/119,,"#IsraelLeaks - Day Thirteen - Leak One - H&O Fashion (h-o.co.il) - #OpCyberToufan #OpIsrael

Bismillah..

Our first leak for the day is the complete database of the e-commerce website for the famous Israeli company H&O Fashion (h-o.co.il), including Names, Phone Numbers, Home Addresses, Emails, Passwords (Hashes), and more. H&O Israel yields an annual revenue of over $100 million, and is one of Israel's most popular fashion-retail chains.

H&O informed their customers of the breach two days ago, so we recommend our brothers working on the cyber front against the occupation to quickly make use of the data before users change their passwords. But don't worry, we still have more coming :).

As always, we remind everyone that CyberToufan will continue to strike the enemy daily, in ways you see, and in ways you don't. So long as our brothers and sisters are facing constant bombardment, destruction of their homes, and attempts to expel them from their land, we will continue striking and destroying the enemy in cyberspace.

Links:
https://usersdrive.com/am6m7o580rpb
https://gofile.io/d/7lfwXf
https://download.gg/file-16081206_5ad5cb11b1645448
https://megaup.net/1l05s
https://clicknupload.click/ldukj5pvpybs

Password: @CyberToufan
SHA-1: 92ea21e970e3d79ece61028e5d3d51d976651523

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 9,2023",Osem,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/121),https://t.me/CyberToufanBackup/121,,"#IsraelLeaks - Day Thirteen - Leak Two - Osem Israel (osem-nestle.co.il) - #OpCyberToufan #OpIsrael

Bismillah..

The second leak for today is the database of the website of the famous Zionist food company Osem, which is currently owned by Nestle. Why do we attack Osem? In addition to its absolute support for the Zionists and the Israeli army, one of the company's directors admitted that they put substances that cause cancer in the food that goes to the Palestinian people! The Zionists have been planning and working on the ethnic extermination of the Palestinians for a long time, not just these days. Cancer rates have increased significantly in the last decade.
The leak includes hundreds of personal data of company employees, emails, usernames and passwords

Links:

https://mdbekjwqa.pw/f/j9o04e4eigl0g1
https://1fichier.com/?deme3jqipobugrh79dpy&af=62851
https://clickndownload.org/t20tbu1pkbtk
https://gofile.io/d/EwAHhv

Password: @CyberToufan
SHA-1: 879ca8ed35bdc0ad0bcc583077f549ca0c1b9489",,,,,,,,,
"December 10,2023",Bermad Israel,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://thecyberexpress.com/cyber-toufan-cyberattack/) Cyber Express (https://thecyberexpress.com/cyber-toufan-cyberattack/),https://t.me/CyberToufanBackup/128,"https://t.me/CyberToufanBackup/131

calling for a strike ","#IsraelLeaks - Day Fourteen - Leak One - Bermad Israel - #OpCyberToufan #OpIsrael

Bismillah..
As you know, the Zionists are preventing the entry of everything to the Palestinians now, including food, medicine, and even water, and people there were forced to drink polluted water. For this reason, we at CyberToufan have attacked the largest company specialized in water systems in the state of dark ""Israel"", Bermad Water Control Solutions. https://www.bermad.com is one of the largest companies in the world in this field.
Let the zionists and their supporters go to hell.

Links:
https://mdbekjwqa.pw/f/1v7r07o1ike1g8q
https://clickndownload.org/yudz72hnbl0e
https://gofile.io/d/KZwPIr
https://download.gg/file-16084845_088f97f9c2bfe8a0

password:
@CyberToufan
SHA-1: cc32a79d50537277f4a27555abd1e2cf6f1b35e5

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 10,2023",ZapGroup Israel,Information and Communications,,Wipe,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/133),https://t.me/CyberToufanBackup/133,,"#IsraelLeaks - Day Fourteen - Leak Two - ZapGroup Israel (zapgroup.co.il) - #OpCyberToufan #OpIsrael

Bismillah..

We have a small leak tonight, which is the complete database of ZAP GROUP https://wwww.zapgroup.co.il. The company boasts of providing website development services to other companies with high efficiency. We find their lie very clear! We accessed their servers and databases, and  wiped some of their clients' websites as well.

Links:
https://clickndownload.org/2uhy027tnm51
https://1fichier.com/?bvx2obhpu3bdn1mvu39x&af=62851
https://www.mediafire.com/file/ncq5z6kqkz5m2p8/OpCyberToufan-IsraelLeaks-0x20-ZapGroup.zip/file
https://download.gg/file-16085657_6fda673900577509

Password: @CyberToufan
SHA-1: bd486bd6151631753ad27b40517ae380865244db

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"december 11,2023",Semicom,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/146),https://t.me/CyberToufanBackup/146,,"#IsraelLeaks - Day Fifteen - Leak Two - Semicom (semicom.co.il) - #OpCyberToufan #OpIsrael

Bismillah..

After we released tons of databases from different Israeli chain stores: HomeCenter, Shefa Online, Ikea, ACE Hardware and others.
Today we have another gift for you. We give you another store: Semicom https://semicom.co.il

This release includes the complete database, including users data, Passwords (Hashes), and many more..

As we said, we will make occupying state's population as an open book for the resistance armies and for the whole world to see.
 
The CyberToufan Cyber warriors managed to hack into so many Israeli websites and they leak the data every single day!

Links:
https://gofile.io/d/GFnWv9
https://download.gg/file-16088774_11a41bcfbdc5b457
https://clickndownload.org/7ollwws608d6
https://mdbekjwqa.pw/f/gnvp8618ujrorz

Password: @CyberToufan
SHA-1: bcd1d049733c7a9ab3c58aaa6d2179e3f03f5218

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"december 12,2023",kravitz,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/154),https://t.me/CyberToufanBackup/154,"It is interesting that less than a month after Cyber Toufan were the first to inform (and then show) the Israeli public that the resistance found a second home in their government's networks and servers, the Israeli public have now agreed to allow Netanyahu to collect and store far more personal data of them. ??

We in the resistance have been siphoning your citizens' data from most of the branches of your government, including:
- Your State Payment Gateway
- Your State Archive
- Your Israel Securities Authority
- Your Ministry of Health
- Your Israel Innovation Authority
- Your Nature and Parks Authority

One by one your government abashedly admits to the compromise of these systems. And these are just the systems our leaders permitted us to burn our access to, wiping then leaking some of the data from them.

Do you really think these are the only government systems we have been having access to? Do you really think we don't know the ins and outs of Memshal Zamin (???? ????) and The Tehila Project (????""?), like the backs of our own hands? 

Let us be the first ones to inform you (once again!):

We know your government networks far better than your government's incompetent sysadmins do. ??

https://t.me/CyberToufanBackup/160","#IsraelLeaks - Day Sixteen - Leak One - kravitz (kravitz.co.il) - #OpCyberToufan #OpIsrael

Bismillah..

BiBi... missed us? Naahhh, we will not do this to you :)
You said you will control Gaza after the military op?! We're eager to see how you'll do this while you can't protect your country from our cyber attacks.
Oh sorry! we forgot you brag a lot because you're an untreatable maniac! No wonder your shrink commited suicide! We're sure he is R.I.P now.  

Today we have another surprise for you. We've decided to mark with our beloved RED triangle one of the oldest companies in Israel, which supplies and distributes stationery to more than 7,000 companies, institutions and businesses and it is one of the largest in the Israeli economy: kravitz https://www.kravitz.co.il/

This release includes the complete database, including users data, Passwords (Hashes), and many more..

Asking why we chose to attack this stationary business? Remember the IDF soldier in the small stationary shop in Gaza who was breaking things and messing with it! You know the answer now. Yup! we've took his revenge... ""We do not forget"" is part of our slogan. 

We will continue monitoring your IDF losers' behaviour on the ground. 

The CyberToufan Cyber warriors managed to hack into so many Israeli websites and they leak the data every single day!

Links:
https://gofile.io/d/GFnWv9
https://download.gg/file-16088774_11a41bcfbdc5b457
https://clickndownload.org/7ollwws608d6
https://mdbekjwqa.pw/f/gnvp8618ujrorz

Password: @CyberToufan
SHA-1: bcd1d049733c7a9ab3c58aaa6d2179e3f03f5218

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 13,2023",Biopet,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/163),https://t.me/CyberToufanBackup/163,,"#IsraelLeaks - Day Sixteen - Leak Tow - Biopet  (biopet.co.il) - #OpCyberToufan

Bismillah..

BiBi... Before wishing you a bad night, we have something for you. 
You think you can kill the animals of Gaza and let them die starving and we take no action about this? Naaahh
I think you know exactly what have you done to Gaza Zoo, which we think you will be in one of its cages soon and our children throw you with bananas. 
We've decided to mark with our beloved RED triangle BioPet Ltd. which is an Israeli business pet foods, accessories and dietary supplements.
This release includes the complete database and its B2B customers and much more. 

We will continue monitoring your IDF losers' behavior on the ground, and the stupid commanders sitting behind fancy desks. 

Links:
https://gofile.io/d/qku0f7
https://1fichier.com/?4q2a07dhd4ef4w3gkyly&af=62851
https://mdbekjwqa.pw/f/rwlr0jmkaleq6l

Password: @CyberToufan
SHA-1: 8e800f6652f20f752d7287585e02b3a5e8980d96
https://t.me/CyberToufanBackup / https://t.me/CyberTofan",,,,,,,,,
"December 13,2023",GS1 Israel,Information and Communications,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/169),https://t.me/CyberToufanBackup/169,,"#IsraelLeaks - Day Seventeen - Leak One - GS1 Israel  (gs1il.org) - #OpCyberToufan #OpIsrael

Bismillah..

Together you will lose! 
We are picky in choosing our targets, but as GS1 Israel decided to raise the Israeli flag on their site header saying ""Together we will win!"", then they should pay the price!
We've decided to mark with our beloved RED triangle GS1 Israel (gs1il.org).

GS1 Israel works hard in regulating the international standards to identify companies and their products and services and always looking for a better econmoy solutions while motivating the disruption of the economical situation in Gaza and whole Palestine. 
This release includes a SAMPLE of suppliers, retailers , hq users , yet more to come if you keep your header..
We will keep attacking the Israeli economy as far as ours is being destroyed. 

Well, let us make it clear, Together you will lose! 

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 13,2023", Audi Dagan Insurance Agency Ltd,"Finance, Management and Administration",,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/174),https://t.me/CyberToufanBackup/174,,"#IsraelLeaks - Day Seventeen - Leak Two - Audi Dagan Insurance Agency Ltd. (udidagan.co.il) - #OpCyberToufan #OpIsrael

Bismillah..

You are not secured after all...LOL

Tonight we uncover a sample list covering ONLY the customers for a well known Israeli insurance company. You know it's night and we won't like to keep threat hunters and security analysts up! Too much caffeine is not good for your health after all.   ??

We've decided to mark Udi Dagan Insurance Agency Ltd. (udidagan.co.il) with our beloved RED triangle. ??????
Udi Dagan lists in their site that ""We are doing a small renovation, we will be back soon!"" Well, we don't think it will be very soon...

It is not just the government and the IDF who keeps telling lies, also the companies who should be taking care about your lives lie too. 

We will keep attacking the Israeli companies as far as ours are being destroyed. 

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 14,2023", Scope Metals Group Ltd,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/194),https://t.me/CyberToufanBackup/194,,"#IsraelLeaks - Day Eighteen - Leak Two - Scope Metals Group Ltd, Israel (scope.co.il) - #OpCyberToufan #OpIsrael

Bismillah..

Old, but gold!

This night we've decided to mark Scope Metals Group Ltd, Israel (scope.co.il) with our beloved RED triangle. ????

Scope Metals Group is a large service and distribution center, with a wide range of over 80,000 products.

Although the data is not considered brand new, but we are leaking more than 10K of interesting records!

Actually this is just a warm up, if war on Gaza continues, we will release the BRAND NEW ones!

You should have known us well so far, we mean it. 

Enjoy!

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 15,2023",SpaceX ,Transportation,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/200),https://t.me/CyberToufanBackup/200,,"#IsraelLeaks - Day Nineteen - Leak One - SpaceX (Part One) - #OpCyberToufan #OpIsrael

Bismillah..

Ever since Elon Musk (erm@spacex.com) agreed to stand shoulder-to-shoulder with the mass-murderer Netanyahu, the one whose hands are drenched in the blood of over 7,000 of our children, we at Cyber Toufan have had Mr. Musk and his business interests in our scope.

Today we publish Part One of CyberToufan's SpaceX leaks - a complete list of SpaceX's Employee Directory (all 12.5k) along with their email addresses. Not included in Part One: Their Passwords (Hashes), Phone Numbers, Home Addresses, or Employment Positions.

To those that participate in supporting those responsible for the mass murder of our children, know that your support is itself complicity. And you will be held to account for that complicity, even if that support was done purely out of personal greed.

To Biden and Sullivan, as well as Sunak and all other Western leaders encouraging and bankrolling the killing of our children. Know that as your support for the genocide is losing you political and moral credibility in your own lands, and as it unties the decades of your soft power efforts in the Muslim lands, your ongoing support for the genocide also risks you engulfing your entire states in a state of Cyber War. Your cyber landscapes are far richer and vaster than that of Israel's, and your companies are many fold larger in number and size.

Should you continue in supporting the killing of our children, and not in getting your 51st state/allies in line, you would not need to worry about just a Cyber Pearl Harbor, but rather a Cyber Flood (Toufan), from which there will be no mountain to climb..

Links:
https://usersdrive.com/7r6k2cwl1mdj
https://gofile.io/d/TVmuAS
https://download.gg/file-16103304_b89ac618cd5c9cb7
https://turbobit.net/tcdazn4zaz4l.html
https://megaup.net/1lefe

Password: @CyberToufan
SHA-1: bdd831bb41f2c76a413100aa0c0429f4f51d124d

#IsraelLeaks #OpCyberToufan #OpIsrael

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 15,2023",Graf ,Industry,,Wipe,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/204),https://t.me/CyberToufanBackup/204,,"#IsraelLeaks - Day Twenty - Leak One - Graf (graf.co.il) - #OpCyberToufan #OpIsrael

Bismillah.. 

We've hacked Graffiti office supplies, Israel (graf.co.il) and managed to take it down and wipe it, plus their (b2b.graf.co.il)

The famous Graf online store offers a large variety of products to the Israeli market from Computers and peripherals to Appliances, Furniture and many others... 

Our leak contains more than 44K record of important data about users, from usernames, passwords, full names, phone numbers ,emails, addresses and much more. 

Guess what? The data also includes their B2B DB also! 

We will continue to disrupt the Isreli economy until the war on Gaza stops. 

To Smotrich, Minister of Finance: Are you ready to pay the price$?$

Links:

https://turbobit.net/13boz328fq7k.html
https://usersdrive.com/mt72qsthatlj
https://clicknupload.click/zt3qhz6wzscz

Password: @CyberToufan
SHA-1: ed90023e4e951e5de4f81efb03aec19004fb4b96

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 15,2023",Dorot,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/213) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/213,,"#IsraelLeaks - Day Twenty - Leak Two - (dorot.com) - #OpCyberToufan #OpIsrael

Bismillah..

As the Israeli authorities continue to cut off water supplies to Gaza, tonight's leak will be the database of the Israeli Water Systems (Engineering) company, Dorot (dorot.com).

Dorot, is a multinational company specialized in Water Management Systems and Automatic Control Valves, with critical clients in the ICS sector in Israel and all across the globe.

Today's leak is a gift to our friends working against the enemy on the SCADA/ICS front. And oh do we have much more in store for them :).

So long as the war in Gaza continues, we will continue to strike those responsible for the deaths of our children, day.. and night, sometimes in public.. and sometimes leaving no trace..

Links:
https://gofile.io/d/ajalmP
https://turbobit.net/ah0o934f8u6e.html
https://usersdrive.com/xq97xp5p1kyl

Password: @CyberToufan
SHA-1: ecb47d1ca2a444da771ce13476eea1c39867266d

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"November 16,2023",CURVER,Industry,,Wipe,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/216) Double Pulsar (https://doublepulsar.com/cyber-toufan-goes-oprah-mode-with-free-linux-system-wipes-of-over-100-organisations-eaf249b042dc) ,https://t.me/CyberToufanBackup/216,,"#IsraelLeaks - Day 21 - Leak #1 - CURVER (curver.com) - #OpCyberToufan #OpIsrael

Bismillah..

Today's first leak relates to CURVER, a member of the Israeli Keter Group. CURVER (Est. 1949) claims to be a market leader in plastic household products, netting an annual revenue of over $450 million.

On Nov. 16th, #OpCyberToufan wiped out CURVER's servers, databases, and backups too. Over a month later, and CURVER's main website is still out of service (curver.com). While CURVER's DBs are over 5GB in total, today's leak only includes select tables, so as not to interfere with their recovery attempts ??

So long as our brothers and sisters are facing the daily bombardments, we in Cyber Toufan will continue to strike the occupation from all sides, every day and every night.

Links:
https://gofile.io/d/0VgAm0
https://turbobit.net/phkmz3my18wh.html
https://usersdrive.com/9dr2tvjf3gg6


Password: @CyberToufan
SHA-1: e967a2e6d63e60a28e2f455accf116f4c3e9544b

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 17,2023",Techno-Rezef ,Industry,,Wipe,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/219) Information Security (https://www.itsec.ru/news/gruppi-cyber-toufan-ezhednevno-slivayet-do-16-gb-dannih-49-izraislkisih-kompaniy),https://t.me/CyberToufanBackup/219,,"#IsraelLeaks - Day 21 - Leak #2 - Techno-Rezef (techno-rezef.com) - #OpCyberToufan #OpIsrael

Bismillah..

Tonight's turn is that of the Israeli company Techno-Rezef (Est. 1982), one of Israel's oldest wholesale distributor of computers and computer-related equipment.

Their servers, databases, and backups were also wiped over a month ago as part of #OpCyberToufan, and like CURVER, they too are still down (https://techno-rezef.com/).

The leak contains personal inforamtion about company customers, B2B customers, emails, hashes, addresses and more. 

Stay tuned for more leaks about InfoSec companies which supposed to protect you! and failed to protect itself ??  

Links:
https://gofile.io/d/sDSbLR
https://turbobit.net/122r45e8wg5z.html
https://usersdrive.com/yk6alsu9tiav

Password: @CyberToufan
SHA-1: f0d6afcccc8f9da7c78295f7f899469b541a27e3

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 18,2023",Ta-Supply,Industry,,Wipe ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/219) Cyber Press (https://www.google.com/search?q=Ta-Supply+cyber+toufan&oq=Ta-Supply+cyber+toufan&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRhA0gEIMjYwM2owajSoAgCwAgA&sourceid=chrome&ie=UTF-8) ,https://t.me/CyberToufanBackup/222,,"#IsraelLeaks - Day Twenty two - Leak One - Ta-Supply (Ta-Supply.com), part of ISCAR Ltd. - #OpCyberToufan #OpIsrael

Bismillah..


As mentioned bfore, on the 16th of November, Cyber Toufan wiped out over 500 databases and 50 servers belonging to ISCAR which is one of Mr. Buffet's investments into the genocidal state of Israel. 

Today we leak more than 25K records for Ta-Supply.com which is an online store that specializes in offering a wide range of tooling products and equipment.

We will keep striking the Israeli economy with our cyber attacks as long as a cease fire negotiation is reached. 

Remember that: 

Total number of ISCAR DBs: 535
Total size of the ISCAR DBs: 1.2 TB

Links:
https://gofile.io/d/HaJDDd
https://trbbt.net/vclrr9dmx2up.html
https://usersdrive.com/j5mop28bllxt.html

Password: @CyberToufan
SHA-1: 8e10e5782427b97e374e22401dfac46f5ca0096f

#OpCyberToufan #OpIsrael #IsraelLeaks",,,,,,,,,
